size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,3.724368476874138e-8,4.0464357376104396e-8,3.905209100245541e-8
1,1048576,7.215337181092121e-7,7.247061376573708e-7,7.229778910279536e-7
2,1048576,7.366900177003308e-7,7.398778381347182e-7,7.381604226231222e-7
4,1048576,7.370317010880368e-7,7.403230791092409e-7,7.385625575781512e-7
8,1048576,7.390508651736576e-7,7.421059370042435e-7,7.404649702906987e-7
16,1048576,7.391080207818454e-7,7.423269643787521e-7,7.405708729625271e-7
32,1048576,8.691298894876159e-7,8.718063840865373e-7,8.703325707910165e-7
64,1048576,8.264634361274094e-7,8.298093156823885e-7,8.279823344945186e-7
128,1048576,1.0492211542125438e-6,1.052293943405367e-6,1.050602221489077e-6
256,1048576,1.1145228786465897e-6,1.1175819187158368e-6,1.115862250029983e-6
512,1048576,1.2023035659789673e-6,1.205644433974101e-6,1.203866469561863e-6
1024,1048576,1.2271855831149803e-6,1.2303523797987803e-6,1.2286751243472845e-6
2048,524288,2.950354387283178e-6,2.953402257920018e-6,2.9517254607680163e-6
4096,262144,3.422690284730494e-6,3.4263961410520335e-6,3.4245144090649154e-6
8192,131072,5.899642005917686e-6,5.903780876158807e-6,5.90169960641837e-6
16384,65536,7.401106521602471e-6,1.4247002273565424e-5,1.0825438425065513e-5
32768,32768,8.030085357669408e-6,2.1677270172127078e-5,1.4854997322081545e-5
65536,16384,1.3926027771010577e-5,3.961501916503111e-5,2.6770611892702593e-5
131072,8192,2.332192468260672e-5,7.285238610841606e-5,4.80884588012721e-5
262144,4096,4.760208471678903e-5,0.0001353826071777307,9.148755360412707e-5
524288,2048,8.382255615239226e-5,0.00024717152832035016,0.0001654969288940513
1048576,1024,0.0005124157832030914,0.0005167553896484565,0.0005152283916626057
2097152,512,0.000989979101562545,0.001007409878906268,0.0010012755749511573
