size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,3.7079234123236715e-8,4.320320510868941e-8,3.9262002110475726e-8
1,1048576,4.704761230468668e-6,4.708512971877957e-6,4.707634128093662e-6
2,1048576,4.7446148071287925e-6,4.7474547567378585e-6,4.746598291218235e-6
4,1048576,4.750289350509883e-6,4.753470093728125e-6,4.752473535418809e-6
8,1048576,4.741640690801716e-6,4.7450472726819215e-6,4.743870384157051e-6
16,1048576,4.804418349265762e-6,4.807655298232601e-6,4.805854406535691e-6
32,1048576,4.808331714632415e-6,4.811527338027149e-6,4.809767107606566e-6
64,1048576,5.37826306343437e-6,5.381397264479574e-6,5.379698074163878e-6
128,1048576,5.658917806630954e-6,5.661835281366472e-6,5.660219648062457e-6
256,1048576,6.136513238904674e-6,6.139461651798708e-6,6.137835438787806e-6
512,1048576,7.593094654084179e-6,7.596222845079608e-6,7.594498684762993e-6
1024,1048576,8.861288737295773e-6,8.86448621654454e-6,8.86268839919652e-6
2048,524288,1.0080630279542735e-5,1.0083632093434185e-5,1.0081998884438021e-5
4096,262144,1.2258491477971402e-5,1.2262215328229231e-5,1.2260463966130876e-5
8192,131072,1.9282307754508424e-5,1.9285639457687935e-5,1.9283940877429514e-5
16384,65536,2.532017694091451e-5,2.5324734786990547e-5,2.5322602227221636e-5
32768,32768,3.6871262908869974e-5,3.6875183136002906e-5,3.6873249713897086e-5
65536,16384,6.187124169918304e-5,6.18750734864091e-5,6.187288896560776e-5
131072,8192,0.00011781433569332811,0.00011782519274913805,0.00011782121600342581
262144,4096,0.00022227444360354773,0.00022230676660155851,0.00022229221583557274
524288,2048,0.00038482929687499307,0.0003849143408204969,0.0003848671853027806
1048576,1024,0.0007820512548825098,0.0007824237568359316,0.0007821726560058462
2097152,512,0.001310836843750246,0.0013116584335935433,0.0013111275539551184
