size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,3.726364421846249e-8,4.051914501187547e-8,3.906035292148222e-8
1,1048576,5.851228660583929e-6,5.854250037193364e-6,5.853291836738592e-6
2,1048576,5.934695591926267e-6,5.937686671257144e-6,5.936706742465342e-6
4,1048576,5.997199324607142e-6,6.000305481911543e-6,5.99930765211562e-6
8,1048576,5.781017153741116e-6,5.784554474828686e-6,5.7831861505504095e-6
16,1048576,1.1124871596336331e-5,1.1128252622598193e-5,1.112633217072431e-5
32,1048576,1.1213696703905426e-5,1.1217074104307195e-5,1.1215102726935011e-5
64,1048576,1.1070207862850827e-5,1.1073598159785132e-5,1.1071589366196725e-5
128,1048576,1.141626805686118e-5,1.1420973751071295e-5,1.1418947833359703e-5
256,1048576,1.1474144789689331e-5,1.1478788019180617e-5,1.1476587088644494e-5
512,1048576,1.1776064862247535e-5,1.1780469906803558e-5,1.1778475871683645e-5
1024,1048576,2.1598934887884073e-5,2.1603023918158594e-5,2.1601037206353153e-5
2048,524288,4.247008687779374e-5,4.247335172845201e-5,4.2471540692088725e-5
4096,262144,3.3181882255570324e-5,3.318600097654777e-5,3.318423271299068e-5
8192,131072,2.098604566191215e-5,2.098915182494076e-5,2.0987409927359236e-5
16384,65536,3.11519234466452e-5,3.1155190795897035e-5,3.1153411186211997e-5
32768,32768,6.687574206549248e-5,6.688042486569911e-5,6.687826810265464e-5
65536,16384,0.00011705308660875727,0.00011706160394291988,0.000117057453773507
131072,8192,0.00021319868164042244,0.00021330959191892193,0.00021329097982025042
262144,4096,0.00044663001416026665,0.00044682457373044354,0.0004467789547271989
524288,2048,0.0007120248696291936,0.0007122990131836204,0.0007121753494262308
1048576,1024,0.0012974205166020603,0.001298280551757569,0.0012978326691283695
2097152,512,0.0026058263007809335,0.002609117863281607,0.0026072948071287697
