size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,3.798416996003525e-8,4.775642204284842e-8,3.986066418886081e-8
1,1048576,4.968286128043965e-6,4.970882525444736e-6,4.970250788867519e-6
2,1048576,5.318915516853224e-6,5.321354143143638e-6,5.320757825494025e-6
4,1048576,5.497053787232099e-6,5.4992835016249665e-6,5.49877461838721e-6
8,1048576,5.106285264970613e-6,5.109238087654441e-6,5.10861880195198e-6
16,1048576,3.698856006623939e-6,3.7024098806367585e-6,3.7012338187100786e-6
32,1048576,3.7745707445144904e-6,3.7769949378953216e-6,3.7764680482743145e-6
64,1048576,3.6751433067341395e-6,3.678141138074546e-6,3.6771442356701657e-6
128,1048576,8.668353256228813e-6,8.672832855222553e-6,8.671102694332603e-6
256,1048576,1.217408050632474e-5,1.2178592559810164e-5,1.2176818811297746e-5
512,1048576,1.6285065093993452e-5,1.6288328889850762e-5,1.6286667955222122e-5
1024,1048576,1.3930084690098505e-5,1.3932524796484577e-5,1.3931340643526762e-5
2048,524288,2.034227616501443e-5,2.0345357759478762e-5,2.0344694971800818e-5
4096,262144,2.570405987549338e-5,2.5707828922277908e-5,2.5706838757274248e-5
8192,131072,4.116210948182147e-5,4.116931311034708e-5,4.116833911705259e-5
16384,65536,5.412731790160733e-5,5.413091081231825e-5,5.41297778921146e-5
32768,32768,0.00010374566705321359,0.00010375393746949466,0.00010375213031005583
65536,16384,0.0002017550097045658,0.00020179757385251334,0.00020179037402344934
131072,8192,0.000289988030151395,0.00029003635607901916,0.00029002235105130263
262144,4096,0.0001935249995117308,0.00019363856884768021,0.00019361142427062666
524288,2048,0.0003720608447266502,0.0003722804863280013,0.00037221400527952383
1048576,1024,0.0007535445244137851,0.0007540881884764566,0.0007538726098632762
2097152,512,0.0014708825507816492,0.0014732789511716082,0.0014722775212402464
