size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,4.021711158751717e-8,4.61426496505593e-8,4.083982956408519e-8
1,1048576,3.2404823303219947e-7,6.588662567138889e-7,6.350087273120945e-7
2,1048576,3.2134800529463974e-7,6.647727375030951e-7,6.406261727213683e-7
4,1048576,3.2063709163660384e-7,6.585123252867745e-7,6.345589576959635e-7
8,1048576,3.202999925614165e-7,6.579624891280634e-7,6.339725489020325e-7
16,1048576,3.209253425599917e-7,6.628186979300199e-7,6.390477833747292e-7
32,1048576,3.829622097014661e-7,6.678056945805389e-7,6.457416940331328e-7
64,1048576,4.7064717578887473e-7,6.752547960274905e-7,6.60034913480346e-7
128,1048576,7.182812652582558e-7,7.196003971098825e-7,7.189377446769393e-7
256,1048576,1.5426714868549957e-6,2.0498351230623788e-6,1.6386078956127597e-6
512,1048576,1.747319539068613e-6,2.130657159804821e-6,1.8196348388790498e-6
1024,1048576,1.5197422857274946e-6,1.9284634199142838e-6,1.596727002858823e-6
2048,524288,2.3232602176666465e-6,2.3253312110897866e-6,2.3241674002411e-6
4096,262144,3.0357677650440056e-6,3.0389338645931592e-6,3.0371198978432723e-6
8192,131072,5.312911178590322e-6,5.32879411315734e-6,5.323103522301169e-6
16384,65536,1.0618099868775466e-5,1.0636372650144478e-5,1.0629931065559647e-5
32768,32768,2.25285084228474e-5,2.25688696288978e-5,2.2555065952299133e-5
65536,16384,4.4523876281745605e-5,4.4625811218270686e-5,4.458850572967651e-5
131072,8192,9.411506445312218e-5,9.42877783203142e-5,9.422062191010466e-5
262144,4096,0.0001998545727538931,0.00020025592431640628,0.0002001228485717829
524288,2048,0.00037981851220705853,0.0003801632592773385,0.0003800316347961414
1048576,1024,0.000723317653320333,0.000724473784179714,0.0007242565427856434
2097152,512,0.001571711324218808,0.0015763442558593965,0.0015755211602782974
