size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,3.76661233902121e-8,4.106585311889677e-8,3.928901332617468e-8
1,1048576,1.4479037017822833e-6,1.450495726585333e-6,1.4488006589412654e-6
2,1048576,1.6151834478377596e-6,1.6199200696945816e-6,1.6186389585732206e-6
4,1048576,1.6007056856158785e-6,1.607848804473591e-6,1.6053345671891488e-6
8,1048576,2.2815207681658482e-6,2.285731547355672e-6,2.2830884430407727e-6
16,1048576,2.502578455925381e-6,2.507108737945934e-6,2.504294605791802e-6
32,1048576,2.682240310669312e-6,2.6861245727541755e-6,2.683826869309102e-6
64,1048576,2.5320937385559905e-6,2.5354953641891876e-6,2.5333898801209236e-6
128,1048576,4.359537659646612e-6,4.362762408257335e-6,4.360977727055783e-6
256,1048576,4.7010980577470736e-6,4.70435041427557e-6,4.702711210608262e-6
512,1048576,3.6808131771098723e-6,3.685878655432832e-6,3.6832035550473276e-6
1024,1048576,4.49112845992992e-6,4.496489953995617e-6,4.493938592373972e-6
2048,524288,7.82435263824628e-6,7.82937442779035e-6,7.82691045737239e-6
4096,262144,5.8918674774361855e-6,5.895105331422983e-6,5.8934302725817286e-6
8192,131072,9.982324882503834e-6,9.985348464964735e-6,9.983674201487494e-6
16384,65536,1.0624624847431052e-5,1.0635202728260227e-5,1.0631069272996113e-5
32768,32768,2.1298707763691945e-5,2.131935644530806e-5,2.1309716737749455e-5
65536,16384,4.2649139953605635e-5,4.2691748046897945e-5,4.2671367988573815e-5
131072,8192,8.533647277836169e-5,8.543759912110413e-5,8.538930342102534e-5
262144,4096,0.00017055806616211693,0.00017082127685540995,0.00017069527047728966
524288,2048,0.0003398175439452353,0.0003399882377929514,0.0003399045066223008
1048576,1024,0.00067833468750024,0.0006784946708985121,0.0006784041721191497
2097152,512,0.001257563955078006,0.0012580357890624866,0.0012578225157470757
