size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,3.697039541172842e-8,4.074431192435668e-8,3.895198426306923e-8
1,1048576,2.0059916983061754e-6,2.0139755358972167e-6,2.0103237824004028e-6
2,1048576,6.939305563502529e-7,6.97138305971734e-7,6.954038674206187e-7
4,1048576,6.86438206720652e-7,6.898820055223354e-7,6.88043435587149e-7
8,1048576,6.905529827960777e-7,6.939704466635277e-7,6.921175780549849e-7
16,1048576,7.047166004081618e-7,7.07902327867771e-7,7.061939830826924e-7
32,1048576,1.0092740709843895e-6,1.0135100652064466e-6,1.0111236074666907e-6
64,1048576,7.232730172557211e-7,7.260168850553583e-7,7.244598674571723e-7
128,1048576,1.3765035367097056e-6,1.3862099270678385e-6,1.382467306659807e-6
256,1048576,1.6425848079482108e-6,1.65014951725162e-6,1.6479034378874546e-6
512,1048576,1.4005291855134772e-6,1.4099914156240345e-6,1.4063401267278008e-6
1024,1048576,1.4853729426445028e-6,1.495053382205569e-6,1.4912879023748493e-6
2048,524288,3.338425508925269e-6,3.3472724436656165e-6,3.3436885643611802e-6
4096,262144,4.814358338656177e-6,4.8238204266581874e-6,4.8197846457265214e-6
8192,131072,8.322551227735175e-6,8.331821977236586e-6,8.327477840852637e-6
16384,65536,1.6542305676381375e-5,1.6550517671021225e-5,1.6546827132257746e-5
32768,32768,3.49934074677094e-5,3.500327745342702e-5,3.499943021711971e-5
65536,16384,5.8359616147640736e-5,5.837044696477278e-5,5.836553819271728e-5
131072,8192,9.736781856872767e-5,9.738289062966032e-5,9.737521345698497e-5
262144,4096,0.0001650680540024041,0.00016509077056525712,0.00016507918320129988
524288,2048,0.00029737491001924354,0.0002974060676024237,0.00029738835419834686
1048576,1024,0.0005756262282829994,0.0005757324283877097,0.0005756641160417075
2097152,512,0.001098337247640302,0.0010987857381223876,0.0010985742607658722
