size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,3.7553087084418735e-8,4.038906054049107e-8,3.91263139526421e-8
1,1048576,3.8062062841515143e-6,3.8141307550088044e-6,3.8107064485870534e-6
2,1048576,3.998137394711776e-6,4.006022177982516e-6,4.002517824688856e-6
4,1048576,4.0719701401847885e-6,4.079571068738019e-6,4.076256677351675e-6
8,1048576,4.120588549261228e-6,4.128777878920076e-6,4.125675353836011e-6
16,1048576,5.4301827014935355e-6,5.439873206780632e-6,5.436127667457491e-6
32,1048576,5.441557010321674e-6,5.4512465785805375e-6,5.447572345704255e-6
64,1048576,5.688551229621197e-6,5.699068121201023e-6,5.694904142927726e-6
128,1048576,6.031115495908068e-6,6.0417172202953395e-6,6.037701686265051e-6
256,1048576,6.515049014277352e-6,6.525897167763972e-6,6.52171026248316e-6
512,1048576,7.452526012530214e-6,7.4639307068302685e-6,7.45973967694602e-6
1024,1048576,8.30582753774678e-6,8.317119518874705e-6,8.312581140632047e-6
2048,524288,9.320658784339741e-6,9.331158099534775e-6,9.326864438108373e-6
4096,262144,1.0273447498043708e-5,1.0284644033298207e-5,1.0280348813396234e-5
8192,131072,1.2217600330544087e-5,1.2228426825799943e-5,1.2224227227242146e-5
16384,65536,1.5875593984304714e-5,1.58867183515099e-5,1.5882287712098986e-5
32768,32768,2.3242877105644766e-5,2.325415489679017e-5,2.324961894828448e-5
65536,16384,4.4680250979922675e-5,4.4692942068991215e-5,4.4688211493948415e-5
131072,8192,9.686364833783045e-5,9.687310642902958e-5,9.686874823344738e-5
262144,4096,0.0001837410073335377,0.0001837598890119807,0.0001837540850608832
524288,2048,0.00034128764366414543,0.0003413269340626357,0.00034131061990194667
1048576,1024,0.000673707743317209,0.0006739837242548674,0.0006738955073615216
2097152,512,0.001222050475917058,0.0012222875079714868,0.0012221589532828148
