size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,3.7054615154019643e-8,4.028624833729566e-8,3.892200070576557e-8
1,1048576,7.592288972402272e-6,7.6028608828604405e-6,7.598915594181355e-6
2,1048576,7.79821475838105e-6,7.807843909191092e-6,7.804206113321e-6
4,1048576,8.408667817594306e-6,8.419153658678624e-6,8.415351184273834e-6
8,1048576,9.763811332108574e-6,9.774211731317095e-6,9.770281386767277e-6
16,1048576,1.064596290945019e-5,1.0655398593906185e-5,1.0651687192955728e-5
32,1048576,1.0633390177483548e-5,1.0642879710198727e-5,1.0639166471121397e-5
64,1048576,1.0764466773283132e-5,1.0774056024898115e-5,1.0770274989496675e-5
128,1048576,1.1473505454828725e-5,1.1483148951496602e-5,1.1479575081421722e-5
256,1048576,1.1578618117846773e-5,1.158818004398654e-5,1.1584575129466868e-5
512,1048576,1.2989288995068904e-5,1.2999999694063291e-5,1.299582659139431e-5
1024,1048576,1.347835951448495e-5,1.348910907084111e-5,1.3484921758025181e-5
2048,524288,1.5648080129437858e-5,1.565978862894113e-5,1.5654833793121714e-5
4096,262144,1.6518336485304985e-5,1.652955725184313e-5,1.6525275571777076e-5
8192,131072,1.918597719452464e-5,1.9196916063890512e-5,1.919246127068952e-5
16384,65536,2.5090753254630727e-5,2.5101722094689194e-5,2.50971583632964e-5
32768,32768,3.406540211159381e-5,3.407604081928639e-5,3.4071178036221283e-5
65536,16384,4.929727914770865e-5,4.930760320576155e-5,4.930297167327069e-5
131072,8192,8.118149315805567e-5,8.120372433495504e-5,8.119754152424719e-5
262144,4096,0.0001444497834768299,0.00014447375326653855,0.00014446094583320246
524288,2048,0.000249051443006465,0.00024909128319450247,0.0002490777124961596
1048576,1024,0.00045227706527839473,0.00045237818176246947,0.00045231666648248847
2097152,512,0.0008793376814537623,0.0008797883619990898,0.0008794979635808886
