size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,3.6809504777579605e-8,4.065726999513686e-8,3.894107213076037e-8
1,1048576,2.2883042232191286e-6,2.2977663485246325e-6,2.2956057713074962e-6
2,1048576,1.3868136574668455e-6,1.3901993352050113e-6,1.3885033658539436e-6
4,1048576,1.383832618717662e-6,1.3873813733411566e-6,1.385494977773627e-6
8,1048576,1.3933268430132983e-6,1.3966984877544775e-6,1.3947975616573904e-6
16,1048576,1.3896628208165396e-6,1.393091175527772e-6,1.3911372429148416e-6
32,1048576,1.385519181607009e-6,1.3891077088601378e-6,1.3872800112835204e-6
64,1048576,1.4876228422444626e-6,1.4906884961973788e-6,1.4890594442346083e-6
128,1048576,1.5714526255816708e-6,1.5738500207529427e-6,1.5724890375101719e-6
256,1048576,1.708581449211266e-6,1.7112344483649622e-6,1.7097401960597391e-6
512,1048576,1.8062301356813748e-6,1.8091784399487665e-6,1.8075246508569842e-6
1024,1048576,1.9306842664601476e-6,1.933442165924504e-6,1.931951896377848e-6
2048,524288,2.861356596994824e-6,2.8641796441242207e-6,2.862592861002655e-6
4096,262144,4.13735622917244e-6,4.140060884338936e-6,4.138550589005696e-6
8192,131072,6.487930814813581e-6,6.490833037275934e-6,6.489252623476105e-6
16384,65536,1.0465241594204144e-5,1.046814010052799e-5,1.0466648137308354e-5
32768,32768,2.082868923736214e-5,2.0832035268369964e-5,2.0830296679541505e-5
65536,16384,4.1395230937268934e-5,4.139955244397697e-5,4.139741325115409e-5
131072,8192,8.388228576450274e-5,8.38885420648694e-5,8.388552646465541e-5
262144,4096,0.00015712609956608503,0.0001571451279005487,0.00015713697015939943
524288,2048,0.0003330152437683864,0.0003330817859250601,0.0003330393289644462
1048576,1024,0.0006391885806351638,0.0006394241625002905,0.0006393137130515925
2097152,512,0.001293678446472768,0.0012945569710609561,0.0012941200388070229
