size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,3.709507456761685e-8,4.0310494719975054e-8,3.8851576289467005e-8
1,1048576,8.316056827606388e-7,8.349735081125687e-7,8.331921900056605e-7
2,1048576,8.693110267188331e-7,8.725309561530281e-7,8.707697722321051e-7
4,1048576,8.258293440199793e-7,8.294879276782297e-7,8.27592046337422e-7
8,1048576,8.449437940427629e-7,8.483366744638232e-7,8.46537563950478e-7
16,1048576,8.918872038687908e-7,8.953356838148352e-7,8.934739596511143e-7
32,1048576,1.238817411763904e-6,1.2464589977945195e-6,1.2443345083212876e-6
64,1048576,8.976217358291905e-7,9.012580552969496e-7,8.99504090934311e-7
128,1048576,1.7866905812624623e-6,1.7967170584665126e-6,1.7945814715092379e-6
256,1048576,2.322113489494626e-6,2.336116639911623e-6,2.3335900055099223e-6
512,1048576,2.458597917254224e-6,2.4725024319049993e-6,2.4700478684497318e-6
1024,1048576,2.406426441892151e-6,2.4254710460080986e-6,2.422570105395372e-6
2048,524288,5.773821291299441e-6,5.778298284297989e-6,5.7760764978487256e-6
4096,262144,7.223161873071149e-6,7.228748111209882e-6,7.226166103713183e-6
8192,131072,1.174425038819038e-5,1.1749924528459132e-5,1.1747126556715948e-5
16384,65536,1.2364161783295913e-5,1.4308237780369382e-5,1.3337125959855811e-5
32768,32768,1.6277752699522807e-5,2.186875533283228e-5,1.9073934208080345e-5
65536,16384,2.3958595164685903e-5,3.636769743309287e-5,3.0164649621688966e-5
131072,8192,4.066487744580627e-5,6.243776226710906e-5,5.155256439515199e-5
262144,4096,0.00013257632201657543,0.00013261450368418082,0.0001326006352471154
524288,2048,0.00026181741634445643,0.0002619311927674062,0.00026186362417490727
1048576,1024,0.00044331705930744647,0.0004435871398982272,0.0004434271637165921
2097152,512,0.0008820699572424928,0.0008832056500978069,0.0008825372365777184
