size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,3.695749928311898e-8,4.0534495981958685e-8,3.8844225169754054e-8
1,1048576,1.8310527012399547e-6,1.8338005489670905e-6,1.8322835605710797e-6
2,1048576,1.824580823761579e-6,1.8274940538631768e-6,1.8259037719292603e-6
4,1048576,1.8265877943512976e-6,1.8296586923316482e-6,1.8279921426417323e-6
8,1048576,1.8291433174777438e-6,1.832070931406804e-6,1.8304273259606152e-6
16,1048576,1.821056365924889e-6,1.824086708124284e-6,1.8224134614580612e-6
32,1048576,1.8960778453980254e-6,1.89894422630843e-6,1.8973340476236e-6
64,1048576,1.8575642646290191e-6,1.8604026059687584e-6,1.858821685740697e-6
128,1048576,2.57661186675584e-6,2.579858170870253e-6,2.5783033880677486e-6
256,1048576,3.5389387011974804e-6,3.5423857442928863e-6,3.5406147505939733e-6
512,1048576,3.714603659998872e-6,3.718009990549831e-6,3.7163444753379737e-6
1024,1048576,6.118725769388433e-6,6.1227149530385105e-6,6.120963028488635e-6
2048,524288,1.2335445302102954e-5,1.2338520903210082e-5,1.2336892075109906e-5
4096,262144,1.8748434849946705e-5,1.8751504346603554e-5,1.874983869792901e-5
8192,131072,3.149519286083091e-5,3.1499864505235564e-5,3.149797943080568e-5
16384,65536,6.243040164832792e-5,6.243364600777568e-5,6.243218015944407e-5
32768,32768,2.835593991079577e-5,2.836894550029001e-5,2.836544160977894e-5
65536,16384,4.0315277203717415e-5,4.03273496942802e-5,4.0323738926595354e-5
131072,8192,7.724829222865992e-5,7.72611269042045e-5,7.725546257653093e-5
262144,4096,0.00016284682766354308,0.00016286472015281106,0.00016285490558942683
524288,2048,0.000359257808440816,0.0003592771370222181,0.0003592677483936768
1048576,1024,0.00118219180444612,0.0011823033414657402,0.0011822374936798496
2097152,512,0.0071978284477154375,0.007197971259756741,0.0071979057279349945
