size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,3.9418772912469535e-8,4.0467764916840565e-8,3.990230683370566e-8
1,1048576,1.9249669862553276e-6,1.9278462386473905e-6,1.9262622986543354e-6
2,1048576,7.155444972095637e-7,7.186295969408008e-7,7.168947948332782e-7
4,1048576,6.878244802610567e-7,6.909645564601163e-7,6.892313586387422e-7
8,1048576,7.081599202596323e-7,7.112808444453833e-7,7.095454299943516e-7
16,1048576,7.238916239771243e-7,7.269494548545197e-7,7.252277713781785e-7
32,1048576,9.742145674618286e-7,9.772528601903474e-7,9.75559403107451e-7
64,1048576,7.238227639483341e-7,7.262454295720033e-7,7.249009438270448e-7
128,1048576,1.2389731336437393e-6,1.2439229533089957e-6,1.2421060893857971e-6
256,1048576,1.5380685129962046e-6,1.5424650976481047e-6,1.5408495986496407e-6
512,1048576,1.3775317775355234e-6,1.3829194289716185e-6,1.380858984934008e-6
1024,1048576,1.4851394123382988e-6,1.4900529763384185e-6,1.48799224754248e-6
2048,524288,3.424747704983133e-6,3.428880509748211e-6,3.4267608294558105e-6
4096,262144,4.933389616823547e-6,4.938690065792173e-6,4.9363973886884516e-6
8192,131072,8.474721740370228e-6,8.480150256673369e-6,8.477842665000068e-6
16384,65536,1.643377800064627e-5,1.6439832297265866e-5,1.6437797385693287e-5
32768,32768,3.63991013259124e-5,3.6408997814874056e-5,3.640623041967217e-5
65536,16384,5.912529664442445e-5,5.913868868390182e-5,5.913205941876498e-5
131072,8192,0.00010204087519127825,0.00010205443479094356,0.00010204717868944613
262144,4096,0.0001929459208440676,0.00019297057872336154,0.0001929549523858043
524288,2048,0.00029164580610085977,0.00029167298146148823,0.00029166135421121453
1048576,1024,0.0005438337834675622,0.0005439343578927947,0.0005438749554826927
2097152,512,0.001026530888339039,0.0010269321055602632,0.0010267432417094824
