size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,3.7120690299374814e-8,4.049264568095623e-8,3.893696484680298e-8
1,1048576,3.674392081709499e-7,3.7029833421797775e-7,3.6869427290364687e-7
2,1048576,3.673451764996116e-7,3.7041066702769854e-7,3.687240567040728e-7
4,1048576,3.670144597123226e-7,3.69973778280297e-7,3.682745201988302e-7
8,1048576,3.6643366940758426e-7,3.692077281680639e-7,3.675997072433157e-7
16,1048576,3.6620175758450557e-7,3.693013823635738e-7,3.676181929285205e-7
32,1048576,3.925036962115769e-7,3.9545563335074974e-7,3.937740518655808e-7
64,1048576,4.1202588096922454e-7,4.1645453530136933e-7,4.144462412286609e-7
128,1048576,5.847181159257531e-7,5.926689949919961e-7,5.907425568579816e-7
256,1048576,6.122199069924505e-7,6.21268363198979e-7,6.191944940392435e-7
512,1048576,6.51247476168848e-7,6.581660945137457e-7,6.558818682333989e-7
1024,1048576,7.423673358264438e-7,7.564694313177966e-7,7.538982766119862e-7
2048,524288,1.7357545210039405e-6,1.7398450919969832e-6,1.7374808000403252e-6
4096,262144,2.6941255644175044e-6,2.6991540140741677e-6,2.6961272028280803e-6
8192,131072,5.3490774369890914e-6,5.354950515013002e-6,5.351441845657945e-6
16384,65536,8.137320289591798e-6,1.1450072193497363e-5,9.794217850966902e-6
32768,32768,1.2085215800539117e-5,1.611952887259349e-5,1.4102974478902297e-5
65536,16384,2.0508873049607246e-5,3.1402693636550794e-5,2.5954820365825526e-5
131072,8192,4.124686526552068e-5,5.807677089819663e-5,4.966310902076998e-5
262144,4096,8.408115468228061e-5,0.00012011312009008179,0.00010209851437181783
524288,2048,0.0001748572105952917,0.000255972538639071,0.00021541273680014683
1048576,1024,0.0005084452695882646,0.0006722434129642352,0.0005903423199242752
2097152,512,0.0012078025629307376,0.0015730794375485857,0.0013904326514762033
