size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,3.74103918954205e-8,4.0687474056610995e-8,3.906407494702613e-8
1,1048576,2.2447174232720357e-6,2.2474737573219272e-6,2.2458288128773818e-6
2,1048576,1.3743802247390136e-6,1.3766891127087177e-6,1.3756004036136193e-6
4,1048576,1.3647530123783724e-6,1.367333468227372e-6,1.3661515821106196e-6
8,1048576,1.3607645796831491e-6,1.3638460945042397e-6,1.362355683362515e-6
16,1048576,1.3706381596367834e-6,1.372506714725219e-6,1.3717012855851696e-6
32,1048576,1.358091204606282e-6,1.360955607543346e-6,1.3595578693681443e-6
64,1048576,1.505009405544655e-6,1.5074457091479587e-6,1.5060990806448071e-6
128,1048576,1.5466555607357435e-6,1.5488059368351514e-6,1.5475870541875603e-6
256,1048576,1.6937111790849002e-6,1.6964308715561316e-6,1.6950026066192558e-6
512,1048576,1.8283249199058105e-6,1.8306431024406322e-6,1.8294459327716783e-6
1024,1048576,2.0050339739619005e-6,2.0072364002032828e-6,2.006157597059244e-6
2048,524288,2.8217371750294262e-6,2.824398619427626e-6,2.8229270203627976e-6
4096,262144,4.16871458952528e-6,4.171165268296306e-6,4.169832218459124e-6
8192,131072,6.6656143165033654e-6,6.668313938362758e-6,6.666840869806734e-6
16384,65536,1.048893918564886e-5,1.0492289312935554e-5,1.0490586596967333e-5
32768,32768,2.076022891372986e-5,2.0764477049795005e-5,2.076284774599202e-5
65536,16384,4.0515589688538967e-5,4.0520516648712146e-5,4.051836195628766e-5
131072,8192,8.393765412506582e-5,8.39557807807978e-5,8.395206775446695e-5
262144,4096,0.00017551974730167785,0.00017554072968550827,0.00017553093058353397
524288,2048,0.0003337083351198089,0.0003337894696642252,0.0003337482228431554
1048576,1024,0.0006518466145735147,0.0006520660042497184,0.0006519570236775962
2097152,512,0.0012709549887404137,0.001271735995032941,0.0012713450312560326
