size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,3.706736051434234e-8,4.032689604471784e-8,3.894532220327651e-8
1,1048576,2.086667906464612e-6,2.177823351656727e-6,2.1705063670690583e-6
2,1048576,1.1967100808085718e-6,1.289666195170014e-6,1.2824503534264453e-6
4,1048576,1.238075569398589e-6,1.2908148441237444e-6,1.2859288489736054e-6
8,1048576,1.2352565355033818e-6,1.2871231738209588e-6,1.282487227666218e-6
16,1048576,1.2400357827235808e-6,1.289517361335868e-6,1.2851029191074392e-6
32,1048576,1.235803295474014e-6,1.2887217577528531e-6,1.284155777409035e-6
64,1048576,1.5217353410701406e-6,1.5253740115461767e-6,1.523229816502436e-6
128,1048576,1.595678023935676e-6,1.598903066168944e-6,1.5969232696894098e-6
256,1048576,1.7346709826338014e-6,1.737715823679764e-6,1.7360598647819803e-6
512,1048576,1.8461043382878017e-6,1.8487069153305669e-6,1.8473794456547177e-6
1024,1048576,2.0065271024716225e-6,2.0128670101815516e-6,2.011260473722132e-6
2048,524288,2.8502849165334965e-6,2.8530580826746643e-6,2.8515508273818657e-6
4096,262144,3.8982746533022805e-6,3.900641686982453e-6,3.899399652951274e-6
8192,131072,6.389898382863635e-6,6.392704669622162e-6,6.391080150991435e-6
16384,65536,1.0628503829934743e-5,1.0631739552735553e-5,1.0629954975804878e-5
32768,32768,2.1124430375607517e-5,2.1127557232603067e-5,2.1125835152346895e-5
65536,16384,4.088300438809256e-5,4.088684124781139e-5,4.08849743083195e-5
131072,8192,8.580575698147186e-5,8.582166438486638e-5,8.581778349281421e-5
262144,4096,0.0001798715039740273,0.0001798931560301753,0.00017988194035822858
524288,2048,0.00033846346423160867,0.00033853866966637725,0.0003384951961251659
1048576,1024,0.0006568280234660051,0.0006570614402789943,0.0006569417334105765
2097152,512,0.0012777789229403425,0.00127890551721066,0.0012783408897689696
