size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,3.6916897538930016e-8,4.035730216678246e-8,3.8787564576869826e-8
1,1048576,1.1259683558861866e-6,1.1292822807984493e-6,1.1273667442635027e-6
2,1048576,1.1043853695991146e-6,1.1078147970078334e-6,1.1058422168808146e-6
4,1048576,1.0707667144060906e-6,1.0741320921603403e-6,1.072192736081834e-6
8,1048576,1.0813622084437924e-6,1.0847692939464082e-6,1.0827907329369335e-6
16,1048576,1.1160700443824112e-6,1.1193214193294665e-6,1.1174145994607976e-6
32,1048576,1.5471232395203316e-6,1.5549730321140487e-6,1.5527863968523015e-6
64,1048576,1.1622532225530335e-6,1.1672812310070668e-6,1.1651394963702044e-6
128,1048576,2.43421875456562e-6,2.437339954752815e-6,2.4356682544884878e-6
256,1048576,2.6887411721521204e-6,2.699646781234577e-6,2.6973111037914554e-6
512,1048576,2.589456826962433e-6,2.601101151578078e-6,2.5985900247160743e-6
1024,1048576,2.1370592762082197e-6,2.146662714030967e-6,2.1442948213296065e-6
2048,524288,4.631932830179153e-6,4.6363562571372086e-6,4.634040474293943e-6
4096,262144,8.705554241927871e-6,8.710904084274773e-6,8.708253594835735e-6
8192,131072,1.821657603251481e-5,1.8225621444045714e-5,1.8222610317364385e-5
16384,65536,1.3618727063402503e-5,1.4846849705207887e-5,1.4233076463865402e-5
32768,32768,1.7503293328502423e-5,2.1729531027858684e-5,1.9616989569204435e-5
65536,16384,2.6496541934761808e-5,3.900571819315246e-5,3.275158629545416e-5
131072,8192,4.136581461011701e-5,6.773883555410976e-5,5.45525256061552e-5
262144,4096,0.0001306516829231441,0.00013070584378738204,0.00013069212892347082
524288,2048,0.00027308744154197484,0.0002732096289719266,0.0002731475833925856
1048576,1024,0.0005617425547370658,0.000562227269028881,0.0005619389284987619
2097152,512,0.0010940211191154958,0.0010956407168123405,0.0010946613817850448
