size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,3.6758992960628234e-8,4.0637021303524534e-8,3.886012631126867e-8
1,1048576,5.482165710946063e-6,5.485440849994916e-6,5.483786761420473e-6
2,1048576,7.732165568485883e-6,7.735490761495711e-6,7.733684581442968e-6
4,1048576,1.006336985920342e-5,1.0066517083018311e-5,1.006479147941386e-5
8,1048576,9.606242225235206e-6,9.609375383412555e-6,9.607647778436812e-6
16,1048576,1.1194930064739594e-5,1.1198149657110079e-5,1.1196392456391813e-5
32,1048576,9.99557157199682e-6,9.998796119514708e-6,9.997023253743853e-6
64,1048576,1.1477163259554501e-5,1.1480424193299754e-5,1.1478643102844077e-5
128,1048576,1.147205037810295e-5,1.1475475902633647e-5,1.1473664972935782e-5
256,1048576,1.3561862605815378e-5,1.356514895189953e-5,1.3563540384758932e-5
512,1048576,1.3709063831912616e-5,1.3712188591252783e-5,1.371062127522582e-5
1024,1048576,1.831768295024183e-5,1.832082742980745e-5,1.831930328551057e-5
2048,524288,2.0585121827565445e-5,2.058823598005688e-5,2.05867390353498e-5
4096,262144,2.396027554585345e-5,2.3963643718261096e-5,2.396200490945022e-5
8192,131072,2.5680094211111282e-5,2.5683647688623523e-5,2.5681893692008906e-5
16384,65536,3.18730530892708e-5,3.188743464477284e-5,3.188020260957991e-5
32768,32768,4.52498936240886e-5,4.5264050093862807e-5,4.5256918190350603e-5
65536,16384,8.017812437799421e-5,8.019669300551868e-5,8.018662239983598e-5
131072,8192,0.00018843610052954318,0.00018846380751824654,0.00018844823370400832
262144,4096,0.00029090014118082763,0.00029092772746253104,0.0002909128593699961
524288,2048,0.0003502821882648277,0.0003503179518702382,0.0003502931675711807
1048576,1024,0.0006840863798061037,0.0006842030786629039,0.0006841265077923708
2097152,512,0.0012910472119074257,0.0012915115471514582,0.001291228546790535
