size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,3.65029901860936e-8,4.0396205269743746e-8,3.8815933203761865e-8
1,1048576,6.837215423161069e-6,6.840084117554213e-6,6.8385572690454755e-6
2,1048576,9.81987443582355e-6,9.82298441187801e-6,9.821330251361116e-6
4,1048576,1.1378136588247045e-5,1.1381156604040044e-5,1.1379516613854723e-5
8,1048576,1.2026878442927824e-5,1.202974433978099e-5,1.2028207876407793e-5
16,1048576,1.2033363724128776e-5,1.2036319554376007e-5,1.2034720261983045e-5
32,1048576,1.20264873524345e-5,1.2029334427898775e-5,1.202777944861455e-5
64,1048576,1.3145227276911697e-5,1.3148121837947002e-5,1.3146514775116969e-5
128,1048576,1.1419569036830168e-5,1.1422175455688688e-5,1.1420697716410522e-5
256,1048576,1.1726196611716588e-5,1.172915622960069e-5,1.1727597753835584e-5
512,1048576,9.927061332959397e-6,9.9302644700483e-6,9.928559616345645e-6
1024,1048576,1.2774316282548881e-5,1.2777234101424284e-5,1.277574907648793e-5
2048,524288,1.4559382417900224e-5,1.4562180948196612e-5,1.4560759906662168e-5
4096,262144,1.9454752406389275e-5,1.9457820187973596e-5,1.9456271687423587e-5
8192,131072,2.644495848436179e-5,2.64485838972206e-5,2.644678351904073e-5
16384,65536,3.996788672466778e-5,3.997393798726989e-5,3.997136357258846e-5
32768,32768,8.055995145639372e-5,8.057433555563875e-5,8.057107225223348e-5
65536,16384,0.00013952597022637292,0.00013954289327955394,0.00013953429076973833
131072,8192,0.00024249414840937789,0.00024252366318933127,0.00024250757049415483
262144,4096,0.0004499739094967481,0.000450001680007972,0.0004499828886466162
524288,2048,0.0006988915409920082,0.0006991063261239105,0.0006989497753124851
1048576,1024,0.001462841545617266,0.001463909410404085,0.0014630672920361576
2097152,512,0.0028747116643899062,0.0028784332212126174,0.0028753885497678766
