size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,4.3674551963797986e-8,2.5052058029177996e-7,4.759452547133272e-8
1,1048576,1.1073667058946548e-6,1.1113742933274327e-6,1.110856416597969e-6
2,1048576,1.0891275320050521e-6,1.0922594156266468e-6,1.091774890616522e-6
4,1048576,1.0531743316651581e-6,1.134932588577654e-6,1.1330630897134184e-6
8,1048576,1.0568275880816289e-6,1.0606386709214773e-6,1.0600386674405344e-6
16,1048576,1.1866997337336624e-6,1.1893758420944571e-6,1.1887897091507511e-6
32,1048576,1.468936449051376e-6,1.54485527706206e-6,1.5218123873175117e-6
64,1048576,1.8104146013256202e-6,1.8853372087479562e-6,1.8638845901339556e-6
128,1048576,2.249062185288028e-6,2.3075393695832444e-6,2.3056970381438447e-6
256,1048576,2.9235336771015433e-6,3.161293372152908e-6,3.0640989861935622e-6
512,1048576,4.106473289490618e-6,4.883270557404389e-6,4.53020931185762e-6
1024,1048576,6.585022224427413e-6,8.238420348167157e-6,7.430925165206448e-6
2048,524288,1.0424556440354887e-5,1.3498746789927042e-5,1.1968847348838568e-5
4096,262144,2.0804651588439318e-5,2.6548137466425765e-5,2.3689117262601006e-5
8192,131072,6.254624389648349e-5,6.257093302156134e-5,6.256840020918654e-5
16384,65536,0.0001357554190673534,0.00013576839877319424,0.00013576445906018832
32768,32768,0.00023008830496214585,0.00023011522253413405,0.0002301096724047637
65536,16384,0.00041744533575435293,0.000417470240844724,0.0004174614442033702
131072,8192,0.0007951287395018963,0.0007951577078857547,0.0007951449718532448
262144,4096,0.0015553750720216052,0.0015554440454101752,0.0015554097758064273
524288,2048,0.0033632338754884666,0.0033634312016600984,0.003363329913406385
1048576,1024,0.014432070645507916,0.014433051764648652,0.014432472868698146
2097152,512,0.03729475211132782,0.03730008445703087,0.037297161800262484
