size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,4.366404342652578e-8,2.4209715938566357e-7,4.762357686459669e-8
1,1048576,1.1217219305040648e-6,1.1242796497344226e-6,1.1238912298530498e-6
2,1048576,1.093834520339686e-6,1.0965031003952252e-6,1.0959858158976183e-6
4,1048576,1.1329933910367556e-6,1.1355790491106016e-6,1.1351717531830102e-6
8,1048576,1.056797576903721e-6,1.0591098775860688e-6,1.0587616778909939e-6
16,1048576,1.174199576378107e-6,1.176502070426602e-6,1.1760975763350883e-6
32,1048576,1.4034481287005336e-6,1.4814922208781778e-6,1.458463153302531e-6
64,1048576,1.7385286540973719e-6,1.8144208507521864e-6,1.7923938917518785e-6
128,1048576,2.256052166938746e-6,2.31123740005554e-6,2.309967157885351e-6
256,1048576,2.9130707645437684e-6,3.0753411598207867e-6,3.01866520334781e-6
512,1048576,3.351970835018261e-5,3.3522545689584714e-5,3.352235372184241e-5
1024,1048576,3.585911851311159e-5,3.586227997397999e-5,3.586205256751269e-5
2048,524288,3.921963751792718e-5,3.92272888050163e-5,3.922695715040071e-5
4096,262144,4.845931202696806e-5,4.846924383165635e-5,4.846881095480754e-5
8192,131072,7.292525963591709e-5,7.293802040861776e-5,7.293703876710262e-5
16384,65536,7.349227484128697e-5,7.350575007632806e-5,7.350104638362681e-5
32768,32768,0.00013300866973889758,0.00013302363418573205,0.00013301730412055115
65536,16384,0.00025974959179676446,0.0002597736109009388,0.0002597613721618703
131072,8192,0.0005159583607176402,0.0005160312636720323,0.0005159948258876867
262144,4096,0.0010521703442382055,0.0010524331931152514,0.0010523402096328843
524288,2048,0.0020856306909180083,0.0020866338896480263,0.002086333515136694
1048576,1024,0.004150302404297229,0.004154225379882942,0.004153148915557896
2097152,512,0.008284508759766107,0.008300230179688006,0.00829621824703989
