size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,4.375756359098983e-8,2.3578212547298096e-7,4.773818619548893e-8
1,1048576,2.4358690861701166e-5,2.436163985252489e-5,2.4361245275393335e-5
2,1048576,2.437018748760308e-5,2.437307448578093e-5,2.437267205417151e-5
4,1048576,2.424405178928752e-5,2.4247149842270306e-5,2.4246716322020547e-5
8,1048576,2.42423997659735e-5,2.4246732380873285e-5,2.4246286642983276e-5
16,1048576,2.437941634560177e-5,2.4383461493495843e-5,2.4382944133831958e-5
32,1048576,2.4870335021960366e-5,2.4873479920384592e-5,2.487327968166654e-5
64,1048576,2.5452884104729096e-5,2.545616591260262e-5,2.54558771041626e-5
128,1048576,2.9633531812669144e-5,2.963930148983259e-5,2.9639008749782493e-5
256,1048576,3.180584941579398e-5,3.180654498671846e-5,3.180639170299467e-5
512,1048576,3.319709851073554e-5,3.319800437253474e-5,3.3197706416937046e-5
1024,1048576,3.56231314343959e-5,3.562362913224753e-5,3.5623455969776714e-5
2048,524288,3.895533832926632e-5,3.895589640614183e-5,3.895568977454346e-5
4096,262144,4.81860307769426e-5,4.818815436552124e-5,4.818776872431427e-5
8192,131072,7.258015966789223e-5,7.259615826415988e-5,7.259509060061629e-5
16384,65536,7.241136543270112e-5,7.242724276730356e-5,7.24239859187636e-5
32768,32768,0.00013289284555061294,0.00013290870547498848,0.00013290343142507673
65536,16384,0.0002597684105828807,0.0002597923018186517,0.0002597805852060447
131072,8192,0.0005159708123778153,0.0005160441491704401,0.000516009322509781
262144,4096,0.001052880030273512,0.0010531444008795021,0.0010530499538192347
524288,2048,0.0020855003935547622,0.002086505447754794,0.002086209287536594
1048576,1024,0.004150461001952543,0.004154400440430583,0.0041533347973479445
2097152,512,0.008282408412110254,0.008298200494138985,0.00829420782104479
