size (bytes),iterations,min_time (seconds),max_time (seconds),avg_time (seconds)
0,1048576,4.3642551422137214e-8,2.7904146671290836e-7,4.807176491617801e-8
1,1048576,2.1160393777847136e-5,2.11613573141107e-5,2.1161095676869184e-5
2,1048576,2.1153116126061386e-5,2.1154826710699637e-5,2.115409207601779e-5
4,1048576,2.1154310289380318e-5,2.1156556118963846e-5,2.1155787481441817e-5
8,1048576,2.1152007599833757e-5,2.1153962811483243e-5,2.1152910661131122e-5
16,1048576,2.1188876852031645e-5,2.119037107562989e-5,2.1190061805756058e-5
32,1048576,2.1751187799453684e-5,2.1753208079338177e-5,2.1752907186701476e-5
64,1048576,2.233605138588548e-5,2.233901264951863e-5,2.2338632956488284e-5
128,1048576,2.6023605608955282e-5,2.6024850904469884e-5,2.6024120982215877e-5
256,1048576,2.8438206054678434e-5,2.8441594247804184e-5,2.844077131026865e-5
512,1048576,2.913461896990739e-5,2.913843265722231e-5,2.9137946589469002e-5
1024,1048576,3.262177866266097e-5,3.2624394994694184e-5,3.262399306002328e-5
2048,524288,3.578560528755422e-5,3.578656161310129e-5,3.5786089240257754e-5
4096,262144,4.515050535592951e-5,4.515689208225027e-5,4.5156374132272146e-5
8192,131072,6.960175485990318e-5,6.961673345185068e-5,6.961570575346044e-5
16384,65536,0.00011183190089407956,0.00011184821195998288,0.00011184205731248571
32768,32768,0.00021545292996200116,0.00021546920999100314,0.0002154608816342561
65536,16384,0.0004275790653684927,0.00042761356866444916,0.00042759803009223454
131072,8192,0.0008565302384027015,0.0008566419134516737,0.0008565969306545536
262144,4096,0.0018636076955562408,0.001864070336670312,0.0018638247129669494
524288,2048,0.0031061546513678207,0.0031076614492191734,0.003106852522247321
1048576,1024,0.005609861609376043,0.005615304938476784,0.00561242362960817
2097152,512,0.010851273345701573,0.010871993593752904,0.01086121903732308
